,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164107.0,2386.0,0.0,0.9856690671679891,0.014330932832010956,0.0,,0.0,1.0,,
1,1.0,1665.0,388.0,1277.0,23.303303303303302,76.6966966966967,1665.0,388.0,1277.0,0.23643110897158562,53.52053646269908,53.28410535372749,0.3038371182458888,1277.0,163719.0,1109.0,388.0,0.9910086309934952,0.008991369006504778,0.0023643110897158563,0.3038371182458888,0.5352053646269908,0.9976356889102841,0.766966966966967,0.6304616144161935
2,2.0,1665.0,1567.0,98.0,94.11411411411412,5.885885885885884,3330.0,1955.0,1375.0,1.1912959227820874,57.627829002514666,56.43653307973258,1.4218181818181819,1375.0,162152.0,1011.0,1955.0,0.982185437225589,0.017814562774410937,0.011912959227820872,1.4218181818181819,0.5762782900251467,0.9880870407721791,0.41291291291291293,0.4811056682995102
3,3.0,1665.0,1629.0,36.0,97.83783783783784,2.1621621621621614,4995.0,3584.0,1411.0,2.1839409653457804,59.13663034367141,56.95268937832563,2.5400425230333097,1411.0,160523.0,975.0,3584.0,0.9726174674010318,0.027382532598968126,0.021839409653457806,2.5400425230333097,0.5913663034367141,0.9781605903465422,0.2824824824824825,0.3823330172063406
4,4.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,6660.0,5238.0,1422.0,3.1918199711164057,59.59765297569153,56.40583300457513,3.6835443037974684,1422.0,158869.0,964.0,5238.0,0.9627491846504057,0.03725081534959428,0.03191819971116406,3.6835443037974684,0.5959765297569153,0.968081800288836,0.21351351351351353,0.3143931019235021
5,5.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,8325.0,6890.0,1435.0,4.198480259830476,60.14249790444258,55.9440176446121,4.801393728222997,1435.0,157217.0,951.0,6890.0,0.9529049269338651,0.04709507306613491,0.04198480259830476,4.801393728222997,0.6014249790444258,0.9580151974016953,0.17237237237237238,0.26794883764354405
6,6.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,9990.0,8541.0,1449.0,5.20453119001627,60.7292539815591,55.52472279154283,5.894409937888199,1449.0,155566.0,937.0,8541.0,0.9430726817343672,0.05692731826563279,0.0520453119001627,5.894409937888199,0.607292539815591,0.9479546880998373,0.14504504504504503,0.2341628959276018
7,7.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,11655.0,10195.0,1460.0,6.212410195786895,61.190276613579215,54.97786641779232,6.982876712328767,1460.0,153912.0,926.0,10195.0,0.9332043989837411,0.06679560101625895,0.06212410195786895,6.982876712328767,0.6119027661357921,0.937875898042131,0.12526812526812528,0.2079623958407521
8,8.0,1664.0,1655.0,9.0,99.45913461538461,0.5408653846153868,13319.0,11850.0,1469.0,7.220898560085797,61.567476948868396,54.346578388782596,8.066712049012933,1469.0,152257.0,917.0,11850.0,0.9233180974575508,0.07668190254244923,0.07220898560085798,8.066712049012933,0.6156747694886839,0.927791014399142,0.11029356558300173,0.18707418019738936
9,9.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,14984.0,13510.0,1474.0,8.232433717026087,61.77703269069573,53.544598973669636,9.165535956580733,1474.0,150597.0,912.0,13510.0,0.9133777396046681,0.08662226039533194,0.08232433717026087,9.165535956580733,0.6177703269069572,0.9176756628297391,0.09837159636946076,0.16971790443293033
